module_name,transformer_layer,module_type,feature_dim,k,minimum,median,mean,maximum,q90,q95,q98,q99,q99_5,maximum_over_median,existing_topk_boundary,existing_topk_concentration,count_ge_1_2x_median,fraction_ge_1_2x_median,count_ge_1_5x_median,fraction_ge_1_5x_median,count_ge_2x_median,fraction_ge_2x_median,count_ge_3x_median,fraction_ge_3x_median,count_ge_4x_median,fraction_ge_4x_median,count_ge_8x_median,fraction_ge_8x_median,count_ge_16x_median,fraction_ge_16x_median
model.layers.0.mlp.down_proj,0,mlp.down_proj,5120,80,0.29777002334594727,0.6492435932159424,1.231706142425537,1141.785400390625,1.0864543914794922,1.285679578781128,1.810998558998108,3.2267088890075684,8.00222396850586,1758.639457241221,2.1666762828826904,0.4406192898750305,1703,0.3326171875,814,0.158984375,249,0.0486328125,91,0.0177734375,62,0.012109375,39,0.0076171875,23,0.0044921875
model.layers.0.self_attn.o_proj,0,self_attn.o_proj,5120,80,0.06481032818555832,0.08344040811061859,0.09212324768304825,2.165614366531372,0.11769130080938339,0.13340747356414795,0.16131968796253204,0.1915608048439026,0.2375287115573883,25.954024142120378,0.16888540983200073,0.049721743911504745,975,0.1904296875,368,0.071875,83,0.0162109375,21,0.0041015625,15,0.0029296875,5,0.0009765625,1,0.0001953125
model.layers.1.mlp.down_proj,1,mlp.down_proj,5120,80,0.2845808267593384,0.3280099928379059,0.3384213447570801,3.284688949584961,0.36054301261901855,0.39060845971107483,0.44562509655952454,0.4793931245803833,0.5524853467941284,10.013990492076775,0.4561134874820709,0.029342761263251305,249,0.0486328125,42,0.008203125,11,0.0021484375,6,0.001171875,5,0.0009765625,1,0.0001953125,0,0.0
model.layers.1.self_attn.o_proj,1,self_attn.o_proj,5120,80,0.20115366578102112,0.2661391496658325,0.2812981903553009,4.896052837371826,0.3199709951877594,0.37214240431785583,0.46652328968048096,0.5311806797981262,0.6152361035346985,18.396590067712204,0.48202526569366455,0.03694038838148117,519,0.1013671875,204,0.03984375,50,0.009765625,11,0.0021484375,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.10.mlp.down_proj,10,mlp.down_proj,5120,80,0.988996148109436,1.27676522731781,1.2823747396469116,24.80971908569336,1.3233747482299805,1.3379689455032349,1.361641526222229,1.3909794092178345,1.5734094381332397,19.43170017076113,1.3676295280456543,0.02297336421906948,29,0.0056640625,10,0.001953125,4,0.00078125,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.10.self_attn.o_proj,10,self_attn.o_proj,5120,80,0.22999265789985657,0.8803406953811646,0.879543125629425,12.42749309539795,0.958317220211029,0.982770562171936,1.0242154598236084,1.0739634037017822,1.1897419691085815,14.116685915578591,1.0406540632247925,0.023219063878059387,65,0.0126953125,13,0.0025390625,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.11.mlp.down_proj,11,mlp.down_proj,5120,80,0.50579833984375,1.3662115335464478,1.37680983543396,29.146305084228516,1.4481558799743652,1.4904242753982544,1.561482548713684,1.6170918941497803,1.7441633939743042,21.333669324668758,1.5835134983062744,0.025309612974524498,46,0.008984375,16,0.003125,8,0.0015625,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.11.self_attn.o_proj,11,self_attn.o_proj,5120,80,0.33179008960723877,0.9428804516792297,0.9561424255371094,30.35881233215332,1.0577291250228882,1.0981800556182861,1.1653409004211426,1.2549371719360352,1.44251549243927,32.19794437151133,1.1914669275283813,0.029578130692243576,157,0.0306640625,30,0.005859375,10,0.001953125,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.12.mlp.down_proj,12,mlp.down_proj,5120,80,0.7862346172332764,1.3758436441421509,1.4185060262680054,28.277746200561523,1.599079966545105,1.6788755655288696,1.7892136573791504,1.8807752132415771,2.0099620819091797,20.553023100377743,1.8260107040405273,0.029588311910629272,333,0.0650390625,21,0.0041015625,6,0.001171875,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625
model.layers.12.self_attn.o_proj,12,self_attn.o_proj,5120,80,0.25446927547454834,0.8085182309150696,0.819520115852356,15.05669116973877,0.883841872215271,0.9189006686210632,0.983955442905426,1.081363320350647,1.2364888191223145,18.622574722523964,1.0134917497634888,0.026183288544416428,117,0.0228515625,27,0.0052734375,3,0.0005859375,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.13.mlp.down_proj,13,mlp.down_proj,5120,80,0.9158636331558228,2.2431368827819824,2.4519641399383545,289.19769287109375,3.3614392280578613,3.777235269546509,4.329839706420898,4.7846221923828125,5.244081020355225,128.9255662866303,4.477289199829102,0.06247074529528618,1393,0.2720703125,509,0.0994140625,78,0.015234375,17,0.0033203125,9,0.0017578125,2,0.000390625,2,0.000390625
model.layers.13.self_attn.o_proj,13,self_attn.o_proj,5120,80,0.292178213596344,0.857333779335022,0.8641112446784973,16.275339126586914,0.9345482587814331,0.9620242118835449,1.0024981498718262,1.0510444641113281,1.1409094333648682,18.98366717710649,1.0155390501022339,0.02424883469939232,66,0.012890625,11,0.0021484375,3,0.0005859375,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.14.mlp.down_proj,14,mlp.down_proj,5120,80,1.0123789310455322,1.659138798713684,1.7531251907348633,25.70499038696289,2.210636615753174,2.391295909881592,2.5985941886901855,2.7682013511657715,2.961472988128662,15.492971659087079,2.646703004837036,0.031614527106285095,1062,0.207421875,177,0.0345703125,10,0.001953125,4,0.00078125,3,0.0005859375,2,0.000390625,0,0.0
model.layers.14.self_attn.o_proj,14,self_attn.o_proj,5120,80,0.39644506573677063,0.917277455329895,0.9352912902832031,17.305519104003906,1.056012511253357,1.1100196838378906,1.1675868034362793,1.2556402683258057,1.4171268939971924,18.86617729831815,1.196567177772522,0.0268983356654644,279,0.0544921875,29,0.0056640625,6,0.001171875,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125
model.layers.15.mlp.down_proj,15,mlp.down_proj,5120,80,0.5541411638259888,1.5050480365753174,1.508165955543518,14.965869903564453,1.5684479475021362,1.5923854112625122,1.625014305114746,1.654813528060913,1.6800669431686401,9.943782218153482,1.6356791257858276,0.0194688867777586,6,0.001171875,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.15.self_attn.o_proj,15,self_attn.o_proj,5120,80,0.2434183955192566,0.934131920337677,0.9283830523490906,13.317794799804688,1.0210371017456055,1.0494107007980347,1.0873090028762817,1.1222134828567505,1.1826748847961426,14.256867268801253,1.0975362062454224,0.02314355969429016,53,0.0103515625,9,0.0017578125,3,0.0005859375,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.16.mlp.down_proj,16,mlp.down_proj,5120,80,1.1256074905395508,1.647269368171692,1.656816840171814,21.42388916015625,1.7107139825820923,1.7341313362121582,1.7705137729644775,1.8033208847045898,1.8681721687316895,13.005698748550563,1.7826619148254395,0.0205709096044302,11,0.0021484375,4,0.00078125,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.16.self_attn.o_proj,16,self_attn.o_proj,5120,80,0.30982252955436707,1.0789563655853271,1.0763030052185059,11.789709091186523,1.1580779552459717,1.1848846673965454,1.214874267578125,1.2439630031585693,1.3007731437683105,10.92695633228011,1.230045199394226,0.021160472184419632,28,0.00546875,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
